xml_version_1_0_encoding_utf_8, /home/juan/Source/freemind/plugins/map/FreeMindMapController.java, 2
xml_version, /home/juan/Source/freemind/freemind/modes/mindmapmode/MindMapMapModel.java, 2
xml_storage_zoom, /home/juan/Source/freemind/freemind/modes/common/plugins/MapNodePositionHolderBase.java, 2
xml_storage_tile_sourc, /home/juan/Source/freemind/freemind/modes/common/plugins/MapNodePositionHolderBase.java, 2
xml_storage_pos_lon, /home/juan/Source/freemind/freemind/modes/common/plugins/MapNodePositionHolderBase.java, 2
xml_storage_pos_lat, /home/juan/Source/freemind/freemind/modes/common/plugins/MapNodePositionHolderBase.java, 2
xml_storage_map_tooltip_loc, /home/juan/Source/freemind/freemind/modes/common/plugins/MapNodePositionHolderBase.java, 2
xml_storage_map_lon, /home/juan/Source/freemind/freemind/modes/common/plugins/MapNodePositionHolderBase.java, 2
xml_storage_map_lat, /home/juan/Source/freemind/freemind/modes/common/plugins/MapNodePositionHolderBase.java, 2
xml_storage_clone_itself, /home/juan/Source/freemind/accessories/plugins/ClonePlugin.java, 5
xml_storage_clone_id, /home/juan/Source/freemind/accessories/plugins/ClonePlugin.java, 4
xml_storage_clon, /home/juan/Source/freemind/accessories/plugins/ClonePlugin.java, 4
xml_node_xhtml_type_tag, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 2
xml_node_xhtml_type_not, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 1
xml_node_xhtml_type_nod, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 2
xml_node_xhtml_content_tag, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 1
xml_node_xhtml_content_end_tag_regexp, /home/juan/Source/freemind/freemind/main/XMLElement.java, 2
xml_node_text, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 2
xml_node_registered_attribute_valu, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 4
xml_node_registered_attribute_nam, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 5
xml_node_history_last_modified_at, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 2
xml_node_history_created_at, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 2
xml_node_encrypted_cont, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 2
xml_node_class, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 1
xml_node_attribute_registri, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 3
xml_node_attribute_layout, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 4
xml_node_attribut, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 5
xml_node_additional_info, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 1
xml_node, /home/juan/Source/freemind/freemind/modes/XMLElementAdapter.java, 3
xml_formular_typ, /home/juan/Source/freemind/accessories/plugins/FormularEditor.java, 4
xml, /home/juan/Source/freemind/freemind/common/ScriptEditorProperty.java, 2
xmiddl, /home/juan/Source/freemind/freemind/view/mindmapview/NodeFoldingComponent.java, 12
